,Territory,Inventory Name,Total_revenue,ABC_revenue,Product_Margin,ABC_Margin_mode,ABC(Rev-Mar),total_revenue,CoV,std_dev,average_revenue,Territory_XYZ,ABC_XYZ
5900,Makindye,Nutro Biscuits Chocolate 75g,2477966.24,C,0.0930010087627343,A,CA,2477966.24,1.1405689331861888,256935.5737116538,225269.6581818182,Z,CAZ
5901,Makindye,Softcare Diapers Highcounts Pants 44PC Medium,2455932.18,C,0.15873023008314507,A,CA,2455932.1799999997,1.6090252959032507,359241.5456948014,223266.5618181818,Z,CAZ
5902,Makindye,Vaseline Petroleum Jelly Original 95ml,2452288.06,C,0.030111620707880267,B,CB,2452288.0600000005,0.718934415089564,160275.84382247474,222935.27818181823,Y,CBY
5903,Makindye,Pepsi Cola Soda 500ML,2389829.8000000003,C,0.03334602489328872,B,CB,2389829.8000000003,1.0405865183763674,226074.97009946278,217257.25454545458,Z,CBZ
5904,Makindye,Kazire Lemon Green Tea Fruit Drink 350ml,2356779.29,C,0.12000011800001778,A,CA,2356779.29,1.0177587668462684,218057.52581083856,214252.66272727272,Z,CAZ
5905,Makindye,Ntake Blue Bar Soap 600G,2350847.45,C,0.07009339999999996,A,CA,2350847.45,1.3915295717257636,297388.5222991913,213713.40454545457,Z,CAZ
5906,Makindye,Nomi Laundry & Detergents Bucket 250g,2349491.6,C,-0.7941899243827999,C,CC,2349491.5999999996,1.7631238980496091,376585.8898388011,213590.14545454542,Z,CCZ
5907,Makindye,Nisa Hair Removal Cream Sachet 20ml,2333898.21,C,0.06666672493827396,B,CB,2333898.21,1.2770111201550343,270946.7243163572,212172.56454545454,Z,CBZ
5908,Makindye,Photocopy Paper Double A A4,2312542.44,C,0.04347812703213328,B,CB,2312542.44,1.3204513852677717,277599.9880353193,210231.1309090909,Z,CBZ
5909,Makindye,Aromat Spices Original 75g,2239237.45,C,0.0,C,CC,2239237.45,0.8596094864685687,174988.15949778978,203567.04090909092,Y,CCY
5910,Makindye,ARIEL 45gms Colour and Style,2196610.1999999997,C,0.04130557164853367,B,CB,2196610.1999999997,1.4912295034966168,297786.35799287306,199691.83636363634,Z,CBZ
5911,Makindye,Riham Exotic Tamarind Juice 320ml,2186441.19,C,0.06999992920003119,B,CB,2186441.19,2.1677508297654566,430878.15489598835,198767.3809090909,Z,CBZ
5912,Makindye,Royco Mchuzi Mix Beef Ground Spices 8g,2148304.6999999997,C,0.09539061639583134,A,CA,2148304.6999999997,2.4856820536762982,485454.7671471312,195300.42727272725,Z,CAZ
5913,Makindye,Power Play Energy Drink 400ML,2132881.09,C,0.03409061195756017,B,CB,2132881.0900000003,1.7013743349177943,329893.55872340826,193898.28090909094,Z,CBZ
5914,Makindye,Silkee Jumbo Toilet Tissue Rolls 10 pcs,2126610.0700000003,C,0.041497144682156054,B,CB,2126610.0700000003,1.1657445823792467,225371.28799415007,193328.1881818182,Z,CBZ
